Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-APRIL-2026,RYG,NHS ENGLAND MIDLANDS ,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48
MSitAE-APRIL-2026,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,11638,3880,7158,0,0,560,4581,90,308,0,0,0,503,0,3354,0,0,1173
MSitAE-APRIL-2026,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,12413,0,0,650,0,0,171,0,0,5,0,0,0,0,0,0
MSitAE-APRIL-2026,G3P9C,NHS ENGLAND SOUTH WEST ,TROWBRIDGE MINOR INJURIES UNIT,0,0,1248,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2885,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NQT1I,NHS ENGLAND SOUTH WEST ,CHIPPENHAM COMMUNITY HOSPITAL,0,0,1729,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY NHS FOUNDATION TRUST,6707,0,2214,816,0,44,2344,0,0,203,0,0,404,6,2382,0,0,959
MSitAE-APRIL-2026,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9265,1036,3594,0,0,0,2325,0,0,0,0,0,651,124,2509,0,18,1254
MSitAE-APRIL-2026,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5234,0,6623,0,0,0,2169,0,41,0,0,0,411,14,1803,0,0,83
MSitAE-APRIL-2026,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,9794,0,4206,10,0,139,2087,0,82,1,0,0,805,96,4412,0,0,827
MSitAE-APRIL-2026,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17403,0,7255,201,0,0,6386,0,82,54,0,0,446,471,7832,0,1,787
MSitAE-APRIL-2026,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6060,0,0,0,0,0,774,0,0,0,0,0,1,0,849,0,0,252
MSitAE-APRIL-2026,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,11456,330,6919,0,0,0,4334,0,337,0,0,0,549,77,5197,0,0,1606
MSitAE-APRIL-2026,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5249,0,1522,177,0,28,1491,0,0,39,0,0,133,6,1213,0,0,285
MSitAE-APRIL-2026,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8971,0,0,0,0,0,3498,0,0,0,0,0,918,58,2954,0,6,1927
MSitAE-APRIL-2026,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8373,0,5237,753,0,323,3856,0,93,361,0,0,592,0,2251,0,0,428
MSitAE-APRIL-2026,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,11310,0,13732,0,0,0,4640,0,988,0,0,0,827,413,5061,0,7,233
MSitAE-APRIL-2026,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13442,2349,15017,0,0,0,5401,386,228,0,0,0,522,546,3503,0,0,2371
MSitAE-APRIL-2026,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,7733,0,5518,0,0,0,3318,0,54,0,0,0,632,136,2066,0,16,158
MSitAE-APRIL-2026,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,8117,0,962,52,0,0,2289,0,0,0,0,0,424,423,1654,0,0,315
MSitAE-APRIL-2026,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11222,0,5437,318,0,254,5071,0,215,102,0,26,540,446,2676,0,37,385
MSitAE-APRIL-2026,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,10697,1055,3328,1848,0,818,3810,11,0,497,0,4,787,1038,3123,0,0,2348
MSitAE-APRIL-2026,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5408,0,2441,0,0,0,2534,0,226,0,0,0,362,726,1855,0,0,1085
MSitAE-APRIL-2026,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11594,0,3871,0,0,0,2736,0,24,0,0,0,518,404,3709,0,0,315
MSitAE-APRIL-2026,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4776,353,1939,264,0,0,2002,0,0,113,0,0,430,135,1356,0,0,879
MSitAE-APRIL-2026,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,14041,0,4030,0,0,0,4607,0,5,0,0,0,1045,239,3951,0,434,1015
MSitAE-APRIL-2026,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,9241,0,5912,257,0,854,3185,0,790,58,0,0,242,805,1605,0,0,551
MSitAE-APRIL-2026,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4660,0,965,0,0,0,888,0,0,0,0,0,9,1,559,0,0,180
MSitAE-APRIL-2026,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",6399,0,6292,0,0,0,2943,0,38,0,0,0,528,321,2291,0,0,379
MSitAE-APRIL-2026,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,11707,1763,8391,0,0,1256,4571,202,85,0,0,0,254,7,3824,22,0,2854
MSitAE-APRIL-2026,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13819,0,0,0,0,0,4846,0,0,0,0,0,257,487,2587,0,0,2875
MSitAE-APRIL-2026,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10348,0,13502,0,0,0,2144,0,0,0,0,0,13,0,4255,0,5,547
MSitAE-APRIL-2026,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,20464,0,9568,1321,0,31,9507,0,3,295,0,0,1119,749,4023,0,2,2003
MSitAE-APRIL-2026,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,9301,0,0,0,0,0,3208,0,0,0,0,0,489,183,3321,0,0,2193
MSitAE-APRIL-2026,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,9762,0,2251,1555,0,1503,3409,0,34,0,0,0,261,150,2230,0,0,505
MSitAE-APRIL-2026,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,8678,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2248,0,0,210,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,25673,905,18489,0,0,0,9483,2,1450,0,0,0,1028,1161,4218,0,32,1199
MSitAE-APRIL-2026,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6582,0,3482,0,0,0,3573,0,25,0,0,0,295,96,1786,0,1,438
MSitAE-APRIL-2026,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7049,0,8138,0,0,0,2985,0,192,0,0,0,301,383,3018,0,203,700
MSitAE-APRIL-2026,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,9703,0,0,0,0,0,2676,0,0,0,0,0,595,4,2087,0,0,531
MSitAE-APRIL-2026,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,11684,0,10038,0,0,0,5362,0,272,0,0,0,512,96,2992,0,0,1665
MSitAE-APRIL-2026,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11547,1193,0,0,0,0,3742,7,0,0,0,0,415,11,3940,13,0,1619
MSitAE-APRIL-2026,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9084,1207,6878,326,1,1000,4185,1,418,141,0,25,862,7,3095,0,0,3463
MSitAE-APRIL-2026,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11143,2612,3083,1393,16,0,3907,41,0,342,0,0,704,16,2327,0,0,338
MSitAE-APRIL-2026,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,15928,0,16863,0,0,1017,7473,0,270,0,0,1,995,466,3937,0,0,530
MSitAE-APRIL-2026,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,13177,0,5030,0,0,0,4566,0,0,0,0,0,183,709,1031,0,0,116
MSitAE-APRIL-2026,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8730,0,4099,347,0,0,2327,0,113,61,0,0,471,467,1939,0,0,571
MSitAE-APRIL-2026,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,11236,0,5497,0,0,0,4394,0,612,0,0,0,662,280,3532,0,0,234
MSitAE-APRIL-2026,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9009,0,0,0,0,0,2308,0,0,0,0,0,253,213,1358,0,0,24
MSitAE-APRIL-2026,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,19602,0,6621,667,0,0,5625,0,239,0,0,0,796,34,2792,0,0,367
MSitAE-APRIL-2026,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,10343,0,2950,1,0,0,3350,0,495,0,0,0,601,717,1996,0,0,217
MSitAE-APRIL-2026,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,18330,0,1940,875,0,72,4309,0,2,134,0,0,950,261,2053,0,0,635
MSitAE-APRIL-2026,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,8679,0,8795,0,0,0,4127,0,78,0,0,0,70,131,2304,0,1,273
MSitAE-APRIL-2026,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,7865,0,926,373,0,1462,3115,0,46,119,0,2,600,441,2498,0,44,928
MSitAE-APRIL-2026,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,12555,1943,9409,0,0,307,6944,198,861,0,0,0,156,819,3823,0,995,3899
