Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MAY-2026,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,13237,0,0,664,0,0,323,0,0,13,0,0,0,0,0,0
MSitAE-MAY-2026,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3854,0,0,249,0,0,7,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5812,0,7222,0,0,0,2491,0,63,0,0,0,488,9,1834,0,0,65
MSitAE-MAY-2026,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,8747,0,3964,10,0,7,3805,0,169,5,0,0,505,516,2504,0,134,908
MSitAE-MAY-2026,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,14429,0,17346,0,0,0,6907,0,309,0,0,0,622,553,6734,0,0,191
MSitAE-MAY-2026,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,36269,429,13723,0,0,216,14554,0,221,0,0,2,1638,2620,10492,0,0,7421
MSitAE-MAY-2026,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11706,0,3962,0,0,0,2798,0,6,0,0,0,490,409,3829,0,0,293
MSitAE-MAY-2026,RWW,NHS ENGLAND NORTH WEST ,NORTH CHESHIRE AND MERSEY NHS FOUNDATION TRUST,6999,0,6155,315,0,417,3260,0,89,89,0,3,623,770,1854,0,0,145
MSitAE-MAY-2026,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12880,0,3420,176,0,94,4728,0,136,30,0,2,1170,403,3134,0,92,1115
